,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Black Friday SH,Black Friday SH_lower,Black Friday SH_upper,Easter Sunday,Easter Sunday_lower,Easter Sunday_upper,Labor Day,Labor Day_lower,Labor Day_upper,Labor Day SH,Labor Day SH_lower,Labor Day SH_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,Memorial Day SH,Memorial Day SH_lower,Memorial Day SH_upper,Post Black Friday,Post Black Friday_lower,Post Black Friday_upper,Presidents Day,Presidents Day_lower,Presidents Day_upper,XMAS,XMAS_lower,XMAS_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,lockdown_2,lockdown_2_lower,lockdown_2_upper,lockdown_3,lockdown_3_lower,lockdown_3_upper,lockdown_4,lockdown_4_lower,lockdown_4_upper,trips,trips_lower,trips_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-02,10685.95538,-2844.5172087932756,2673.4151163559063,10685.95538,10685.95538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10641.839612867087,-10641.839612867087,-10641.839612867087,-8655.415047097866,-8655.415047097866,-8655.415047097866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8655.415047097866,-8655.415047097866,-8655.415047097866,550.9621388812411,550.9621388812411,550.9621388812411,-2537.3867046504606,-2537.3867046504606,-2537.3867046504606,0.0,0.0,0.0,44.11576713291288
1,2019-01-03,10676.918951278081,543.9915641067151,6124.470181188818,10676.918951278081,10676.918951278081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7399.20919396114,-7399.20919396114,-7399.20919396114,-5664.071099402805,-5664.071099402805,-5664.071099402805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5664.071099402805,-5664.071099402805,-5664.071099402805,724.9392890800747,724.9392890800747,724.9392890800747,-2460.0773836384096,-2460.0773836384096,-2460.0773836384096,0.0,0.0,0.0,3277.7097573169412
2,2019-01-04,10667.882522556165,267.11755830693534,6097.935002488691,10667.882522556165,10667.882522556165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7471.037826503856,-7471.037826503856,-7471.037826503856,-5664.071099402805,-5664.071099402805,-5664.071099402805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5664.071099402805,-5664.071099402805,-5664.071099402805,560.3993842553374,560.3993842553374,560.3993842553374,-2367.366111356388,-2367.366111356388,-2367.366111356388,0.0,0.0,0.0,3196.844696052309
3,2019-01-05,10658.846093834247,-230.07580073022868,5188.9733581279,10658.846093834247,10658.846093834247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8130.927249749387,-8130.927249749387,-8130.927249749387,-5664.071099402805,-5664.071099402805,-5664.071099402805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5664.071099402805,-5664.071099402805,-5664.071099402805,-206.6085681015995,-206.6085681015995,-206.6085681015995,-2260.247582244982,-2260.247582244982,-2260.247582244982,0.0,0.0,0.0,2527.91884408486
4,2019-01-06,10649.809665112329,-3144.9362318644944,2470.1829767203485,10649.809665112329,10649.809665112329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11108.318309125209,-11108.318309125209,-11108.318309125209,-8655.415047097866,-8655.415047097866,-8655.415047097866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8655.415047097866,-8655.415047097866,-8655.415047097866,-312.9381461705029,-312.9381461705029,-312.9381461705029,-2139.965115856841,-2139.965115856841,-2139.965115856841,0.0,0.0,0.0,-458.5086440128798
5,2019-01-07,10640.77323639041,-4074.4167456376845,1717.8371812974183,10640.77323639041,10640.77323639041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11800.053314789457,-11800.053314789457,-11800.053314789457,-8655.415047097866,-8655.415047097866,-8655.415047097866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8655.415047097866,-8655.415047097866,-8655.415047097866,-1136.648811428427,-1136.648811428427,-1136.648811428427,-2007.9894562631641,-2007.9894562631641,-2007.9894562631641,0.0,0.0,0.0,-1159.280078399046
6,2019-01-08,10631.736807668494,-554.7862731319216,5194.079005128096,10631.736807668494,10631.736807668494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8170.375031970996,-8170.375031970996,-8170.375031970996,-6124.27786058666,-6124.27786058666,-6124.27786058666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6124.27786058666,-6124.27786058666,-6124.27786058666,-180.10528651551303,-180.10528651551303,-180.10528651551303,-1865.9918848688235,-1865.9918848688235,-1865.9918848688235,0.0,0.0,0.0,2461.361775697498
7,2019-01-09,10622.700378946576,812.8842447441591,6335.639114997654,10622.700378946576,10622.700378946576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7059.024585423498,-7059.024585423498,-7059.024585423498,-5894.174479994733,-5894.174479994733,-5894.174479994733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5894.174479994733,-5894.174479994733,-5894.174479994733,550.9621388821124,550.9621388821124,550.9621388821124,-1715.8122443108784,-1715.8122443108784,-1715.8122443108784,0.0,0.0,0.0,3563.675793523078
8,2019-01-10,10613.663950224658,1266.3702998706433,6888.172532977837,10613.663950224658,10613.663950224658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6728.6578046846425,-6728.6578046846425,-6728.6578046846425,-5894.174479994733,-5894.174479994733,-5894.174479994733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5894.174479994733,-5894.174479994733,-5894.174479994733,724.9392890799834,724.9392890799834,724.9392890799834,-1559.4226137698931,-1559.4226137698931,-1559.4226137698931,0.0,0.0,0.0,3885.0061455400155
9,2019-01-11,10604.62752150274,1270.5369561415644,6913.270693560631,10604.62752150274,10604.62752150274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6502.559214862856,-6502.559214862856,-6502.559214862856,-5664.071099402805,-5664.071099402805,-5664.071099402805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5664.071099402805,-5664.071099402805,-5664.071099402805,560.3993842553565,560.3993842553565,560.3993842553565,-1398.8874997154073,-1398.8874997154073,-1398.8874997154073,0.0,0.0,0.0,4102.068306639884
